id,Geographic Area Name,Total Population,Female Total Population,Female Percentage,Male Percentage,Married percentage,50% below the poverty level,Poverty level percentage,High school graduate (includes equivalency) (18-24),Some college or associate's degree (18-24),Bachelor's degree or higher (18-24),High school graduate (includes equivalency) (>25),Some college or Associate's degree (>25),Bachelor's degree (>25),Graduate or professional degree (>25),High school graduate or higher (>25),Bachelor's degree or higher (>25),Total High school degree,Total Some college or associate's degree,Total Bachelor's degree,High school degree percentage,Some college or associate's degree percentage,Bachelor's degree percentage,Hispanic or Latino,Not Hispanic nor Latino,Hispanic or Latino population percentage,Not Hispanic nor Lation population percentage,White, Black or African American,American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone, Some Other Race alone,
0500000US01021,"Chilton County, Alabama",44147,22627,51.25%,48.75%,51.5,2655,6.01%,1960,1028,39,13070,2427,2471,1636,24668,4107,15030,3455,2510,34.05%,7.83%,6%,4418,40596,10.01%,89.99%,34878,4040,112,176,5,121,
0500000US01023,"Choctaw County, Alabama",12755,6723,52.71%,47.29%,46.6,849,6.66%,279,377,25,3346,1068,761,491,7660,1252,3625,1445,786,28.42%,11.33%,6%,113,12552,0.89%,99.11%,7039,5217,24,19,0,13,
0500000US01025,"Clarke County, Alabama",23866,12517,52.45%,47.55%,44,3023,12.67%,885,755,111,6942,1436,1401,902,13799,2303,7827,2191,1512,32.80%,9.18%,6%,206,22881,0.86%,99.14%,11970,10223,74,91,1,37,
0500000US01027,"Clay County, Alabama",13285,6887,51.84%,48.16%,53.4,631,4.75%,539,412,16,3751,981,709,395,7615,1104,4290,1393,725,32.29%,10.49%,5%,449,13787,3.38%,96.62%,11261,1942,45,46,4,26,
0500000US01029,"Cleburne County, Alabama",14952,7684,51.39%,48.61%,54.5,689,4.61%,372,494,38,4044,638,1121,567,8661,1688,4416,1132,1159,29.53%,7.57%,8%,284,14772,1.90%,98.10%,13740,457,42,21,2,16,
0500000US01031,"Coffee County, Alabama",52238,26423,50.58%,49.42%,51.7,3774,7.22%,1575,1489,247,9876,4584,4993,2815,30778,7808,11451,6073,5240,21.92%,11.63%,10%,4887,48578,9.36%,90.64%,35759,8643,405,892,57,195,
0500000US01033,"Colbert County, Alabama",54957,28509,51.88%,48.13%,48.9,2912,5.30%,1874,1746,159,14452,3230,4263,2525,33487,6788,16326,4976,4422,29.71%,9.05%,8%,1732,55495,3.15%,96.85%,43241,9222,223,432,9,135,
0500000US01035,"Conecuh County, Alabama",12219,6268,51.30%,48.70%,41,1254,10.26%,367,243,0,4125,588,727,494,7498,1221,4492,831,727,36.76%,6.80%,6%,256,11341,2.10%,97.90%,5835,5096,71,33,0,16,
0500000US01037,"Coosa County, Alabama",10696,5197,48.59%,51.41%,46.5,500,4.67%,295,193,29,3482,578,659,298,6887,957,3777,771,688,35.31%,7.21%,6%,201,10186,1.88%,98.12%,6807,3000,25,8,0,47,
0500000US01039,"Covington County, Alabama",37096,19062,51.39%,48.61%,50.2,2857,7.70%,1147,956,142,9823,2726,2455,1662,22502,4117,10970,3682,2597,29.57%,9.93%,7%,654,36916,1.76%,98.24%,30657,4563,140,240,0,71,
0500000US01041,"Crenshaw County, Alabama",13826,7237,52.34%,47.66%,48.6,699,5.06%,394,402,26,3697,829,1271,521,7633,1792,4091,1231,1297,29.59%,8.90%,9%,187,13007,1.35%,98.65%,9333,3085,48,83,2,27,
0500000US01043,"Cullman County, Alabama",83345,42266,50.71%,49.29%,54,5084,6.10%,2278,2758,191,18747,6411,5889,3065,47782,8954,21025,9169,6080,25.23%,11.00%,7%,4146,83720,4.97%,95.03%,78298,914,287,522,64,151,
0500000US01045,"Dale County, Alabama",49293,25028,50.77%,49.23%,47.8,4427,8.98%,1668,1847,341,10358,3398,4208,1899,28599,6107,12026,5245,4549,24.40%,10.64%,9%,3254,46072,6.60%,93.40%,32602,10100,217,648,42,164,
0500000US01047,"Dallas County, Alabama",38184,20583,53.91%,46.10%,36.4,4431,11.60%,1329,1430,100,9277,3003,2634,1629,21500,4263,10606,4433,2734,27.78%,11.61%,7%,296,38166,0.78%,99.22%,10363,26812,56,145,12,38,
0500000US01049,"DeKalb County, Alabama",71430,36123,50.57%,49.43%,56.8,5315,7.44%,2181,2393,280,15809,5064,4166,2587,37691,6753,17990,7457,4446,25.19%,10.44%,6%,11744,59864,16.44%,83.56%,54529,1019,715,237,16,86,
0500000US01051,"Elmore County, Alabama",81526,42138,51.69%,48.31%,51.9,3076,3.77%,2969,2595,250,17958,5097,9546,5074,49420,14620,20927,7692,9796,25.67%,9.44%,12%,2793,85184,3.43%,96.57%,62540,18126,270,669,28,275,
0500000US01053,"Escambia County, Alabama",36775,18085,49.18%,50.82%,41.1,4410,11.99%,987,1012,100,11056,1939,2252,961,20653,3213,12043,2951,2352,32.75%,8.02%,6%,751,36006,2.04%,97.96%,22004,10922,1488,108,22,49,
0500000US01055,"Etowah County, Alabama",102721,53190,51.78%,48.22%,46.8,6589,6.41%,2505,4396,339,24104,6705,7764,5011,61597,12775,26609,11101,8103,25.90%,10.81%,8%,4895,98541,4.77%,95.23%,77731,14999,332,921,39,260,
0500000US01057,"Fayette County, Alabama",16406,8344,50.86%,49.14%,57.7,1490,9.08%,485,696,24,4934,926,1055,367,9743,1422,5419,1622,1079,33.03%,9.89%,7%,396,15925,2.41%,97.59%,13552,1720,43,49,1,29,
0500000US01059,"Franklin County, Alabama",31587,15956,50.51%,49.49%,49.1,2314,7.33%,900,1226,88,8223,1556,2164,1007,16578,3171,9123,2782,2252,28.88%,8.81%,7%,6259,25854,19.82%,80.18%,23581,1139,128,67,2,77,
0500000US01061,"Geneva County, Alabama",26383,13592,51.52%,48.48%,55.7,1497,5.67%,934,622,33,6751,2110,1451,994,15289,2445,7685,2732,1484,29.13%,10.36%,6%,1296,25363,4.91%,95.09%,21654,2231,166,86,7,72,
0500000US01063,"Greene County, Alabama",8221,4322,52.57%,47.43%,31.3,1329,16.17%,404,186,67,2301,481,332,252,4668,584,2705,667,399,32.90%,8.11%,5%,61,7669,0.74%,99.26%,1285,6227,5,7,0,11,
0500000US01065,"Hale County, Alabama",14754,7748,52.52%,47.49%,38.7,1123,7.61%,545,381,8,3730,978,1063,500,8085,1563,4275,1359,1071,28.98%,9.21%,7%,149,14636,1.01%,98.99%,5972,8313,34,18,5,23,
0500000US01067,"Henry County, Alabama",17123,8862,51.76%,48.25%,53.6,893,5.22%,499,719,20,3941,1127,1507,801,9829,2308,4440,1846,1527,25.93%,10.78%,9%,334,16812,1.95%,98.05%,11842,4232,50,73,0,49,
0500000US01069,"Houston County, Alabama",105319,54845,52.08%,47.93%,46.9,7680,7.29%,3246,3230,444,22968,6957,10109,6014,63299,16123,26214,10187,10553,24.89%,9.67%,10%,4481,102721,4.25%,95.75%,68251,28232,321,1260,59,354,
0500000US01071,"Jackson County, Alabama",51765,26442,51.08%,48.92%,54.2,2944,5.69%,1687,1394,50,14501,3295,3942,2076,30966,6018,16188,4689,3992,31.27%,9.06%,8%,1681,50898,3.25%,96.75%,45123,1624,680,214,2,109,
0500000US01073,"Jefferson County, Alabama",658615,347168,52.71%,47.29%,43.9,45576,6.92%,18615,24884,7862,118507,37742,94241,59011,407389,153252,137122,62626,102103,20.82%,9.51%,16%,34856,639865,5.29%,94.71%,324252,280112,1207,13043,311,1966,
0500000US01075,"Lamar County, Alabama",13854,7012,50.61%,49.39%,54.2,996,7.19%,328,525,53,4026,909,691,416,8138,1107,4354,1434,744,31.43%,10.35%,5%,208,13764,1.50%,98.50%,11924,1421,28,6,3,22,
0500000US01077,"Lauderdale County, Alabama",92870,48272,51.98%,48.02%,50,4762,5.13%,2599,6237,980,22358,5178,10244,5827,56793,16071,24957,11415,11224,26.87%,12.29%,12%,3078,90486,3.31%,96.69%,76491,9164,295,748,31,204,
0500000US01079,"Lawrence County, Alabama",32969,17165,52.06%,47.94%,54.9,2092,6.35%,994,879,163,9284,1748,2385,1324,18904,3709,10278,2627,2548,31.17%,7.97%,8%,895,32178,2.71%,97.29%,24714,3302,1440,84,7,69,
0500000US01081,"Lee County, Alabama",163461,82983,50.77%,49.23%,45,17749,10.86%,7229,17181,3410,22153,9956,19926,16253,89746,36179,29382,27137,23336,17.97%,16.60%,14%,9135,165106,5.59%,94.41%,109795,39252,365,8544,108,462,
0500000US01083,"Limestone County, Alabama",96921,48595,50.14%,49.86%,50.5,5117,5.28%,1822,3431,657,19941,5870,11872,5064,57962,16936,21763,9301,12529,22.45%,9.60%,13%,7248,96322,7.48%,92.52%,75692,13177,458,1857,70,319,
0500000US01085,"Lowndes County, Alabama",9936,5201,52.35%,47.66%,36.8,1014,10.21%,489,218,32,2840,658,557,453,5665,1010,3329,876,589,33.50%,8.82%,6%,140,10171,1.41%,98.59%,2807,7149,9,15,0,5,
0500000US01087,"Macon County, Alabama",18437,10041,54.46%,45.54%,36.3,1939,10.52%,387,2602,122,3652,960,1312,1131,9971,2443,4039,3562,1434,21.91%,19.32%,8%,361,19171,1.96%,98.04%,3187,15395,48,74,4,45,
0500000US01089,"Madison County, Alabama",367686,188110,51.16%,48.84%,50.5,18340,4.99%,9738,17096,4610,49140,18711,67834,42855,231504,110689,58878,35807,72444,16.01%,9.74%,20%,24936,363217,6.78%,93.22%,237497,91079,2132,10179,450,1702,
0500000US01091,"Marengo County, Alabama",19138,10145,53.01%,46.99%,37.8,1564,8.17%,695,780,34,4977,1384,1298,931,11129,2229,5672,2164,1332,29.64%,11.31%,7%,368,18955,1.92%,98.08%,8375,10133,6,54,1,41,
0500000US01093,"Marion County, Alabama",29818,15058,50.50%,49.50%,50.5,1666,5.59%,836,1059,78,7345,2301,1702,1140,17271,2842,8181,3360,1780,27.44%,11.27%,6%,863,28478,2.89%,97.11%,26093,1094,82,75,14,43,
0500000US01095,"Marshall County, Alabama",96137,48679,50.64%,49.37%,53.4,7591,7.90%,3011,2938,359,19988,5992,9037,4261,53596,13298,22999,8930,9396,23.92%,9.29%,10%,15658,81954,16.29%,83.71%,74666,2293,418,579,128,199,
0500000US01097,"Mobile County, Alabama",413977,216851,52.38%,47.62%,45.4,34406,8.31%,12966,15761,2689,93840,24162,45286,22951,244268,68237,106806,39923,47975,25.80%,9.64%,12%,13425,401384,3.24%,96.76%,226703,145435,3743,8515,216,1302,
0500000US01099,"Monroe County, Alabama",21006,10912,51.95%,48.05%,43,2686,12.79%,1037,389,134,6764,1172,1256,734,12262,1990,7801,1561,1390,37.14%,7.43%,7%,207,19565,0.99%,99.01%,10334,8253,281,88,0,44,
0500000US01101,"Montgomery County, Alabama",226451,119722,52.87%,47.13%,38.6,18554,8.19%,8226,9877,1646,36862,11508,29560,21275,131646,50835,45088,21385,31206,19.91%,9.44%,14%,10684,218270,4.72%,95.28%,73354,129801,364,7952,119,722,
0500000US01103,"Morgan County, Alabama",119352,60533,50.72%,49.28%,51.7,6779,5.68%,4217,3577,284,26213,7155,11982,5632,69492,17614,30430,10732,12266,25.50%,8.99%,10%,12377,111044,10.37%,89.63%,88238,15307,631,829,79,376,
0500000US01105,"Perry County, Alabama",9104,4760,52.29%,47.72%,24.4,802,8.81%,670,779,0,2065,242,661,359,4484,1020,2735,1021,661,30.04%,11.21%,7%,89,8422,0.98%,99.02%,2345,5914,15,10,1,0,
0500000US01107,"Pickens County, Alabama",20049,10475,52.25%,47.75%,44,1535,7.66%,654,591,119,5608,1032,1385,690,11919,2075,6262,1623,1504,31.23%,8.10%,8%,1053,18070,5.25%,94.75%,10066,7448,23,78,0,12,
0500000US01109,"Pike County, Alabama",33274,17263,51.88%,48.12%,32.6,4336,13.03%,1825,4614,762,6446,634,3095,2626,16868,5721,8271,5248,3857,24.86%,15.77%,12%,905,32104,2.72%,97.28%,18036,12068,169,577,9,117,
0500000US01111,"Randolph County, Alabama",22732,11701,51.47%,48.53%,51.9,1899,8.35%,650,995,53,5659,1633,1551,1184,13102,2735,6309,2628,1604,27.75%,11.56%,7%,605,21362,2.66%,97.34%,16629,3814,50,86,1,51,
0500000US01113,"Russell County, Alabama",57938,30129,52.00%,48.00%,46.8,6459,11.15%,1620,1879,333,11666,4849,4416,2455,33497,6871,13286,6728,4749,22.93%,11.61%,8%,3195,55988,5.51%,94.49%,26679,25930,180,408,128,234,
0500000US01115,"St. Clair County, Alabama",88929,44673,50.23%,49.77%,55.9,3893,4.38%,2628,2450,392,21716,5882,7745,3550,53455,11295,24344,8332,8137,27.37%,9.37%,9%,2575,88528,2.90%,97.10%,74962,8617,249,655,20,234,
0500000US01117,"Shelby County, Alabama",216350,111753,51.65%,48.35%,57.6,7055,3.26%,5405,8450,1828,28723,11656,42683,22654,137753,65337,34128,20106,44511,15.77%,9.29%,21%,16460,206564,7.61%,92.39%,162712,28711,478,5114,91,798,
0500000US01119,"Sumter County, Alabama",12595,6851,54.40%,45.61%,35.5,1691,13.43%,492,1833,16,2646,502,761,649,6529,1410,3138,2335,777,24.91%,18.54%,6%,131,12214,1.04%,98.96%,2937,8955,26,102,3,9,
0500000US01121,"Talladega County, Alabama",80244,41539,51.77%,48.23%,44.6,6354,7.92%,2941,3139,190,18777,4854,4948,3619,45910,8567,21718,7993,5138,27.06%,9.96%,6%,1779,80370,2.22%,97.78%,50732,26340,184,395,27,206,
0500000US01123,"Tallapoosa County, Alabama",40450,20818,51.47%,48.53%,49.9,3052,7.55%,1655,954,57,9483,2246,3417,2001,23388,5418,11138,3200,3474,27.54%,7.91%,9%,1144,40167,2.83%,97.17%,28252,10366,84,222,0,91,
0500000US01125,"Tuscaloosa County, Alabama",208854,108309,51.86%,48.14%,43.1,17182,8.23%,9518,20371,2714,37890,10881,23944,16838,117217,40782,47408,31252,26658,22.70%,14.96%,13%,12298,214738,5.89%,94.11%,134880,68779,420,3241,94,792,
0500000US01127,"Walker County, Alabama",63802,32466,50.89%,49.11%,52.3,4692,7.35%,1708,2225,181,15621,4501,3768,2221,36445,5989,17329,6726,3949,27.16%,10.54%,6%,2152,63190,3.37%,96.63%,56394,3889,187,283,2,136,
0500000US01129,"Washington County, Alabama",16336,8248,50.49%,49.51%,50.6,1036,6.34%,591,972,14,4925,940,700,907,9571,1607,5516,1912,714,33.77%,11.70%,4%,138,15250,0.84%,99.16%,10267,3318,1102,14,2,23,
0500000US01131,"Wilcox County, Alabama",10552,5681,53.84%,46.16%,33.6,870,8.24%,421,286,8,2853,427,557,266,5597,823,3274,713,565,31.03%,6.76%,5%,112,10488,1.06%,98.94%,2866,7425,11,7,5,16,
0500000US01133,"Winston County, Alabama",23712,12065,50.88%,49.12%,54.9,1738,7.33%,626,470,81,6653,1145,1366,916,13483,2282,7279,1615,1447,30.70%,6.81%,6%,815,22725,3.44%,96.56%,21598,131,83,58,9,39,
0500000US02013,"Aleutians East Borough, Alaska",3389,1433,42.28%,57.72%,45.9,121,3.57%,122,109,46,1077,156,277,161,2292,438,1199,265,323,35.38%,7.82%,10%,674,2746,19.89%,80.11%,658,297,797,771,32,11,
0500000US02016,"Aleutians West Census Area, Alaska",5708,2065,36.18%,63.82%,48.1,207,3.63%,197,185,7,1789,279,605,111,3863,716,1986,464,612,34.79%,8.13%,11%,668,4564,11.70%,88.30%,1585,257,709,1502,238,10,
0500000US02020,"Anchorage Municipality, Alaska",292090,143136,49.00%,51.00%,49.5,10951,3.75%,11483,12312,2072,45638,17176,43695,26664,180790,70359,57121,29488,45767,19.56%,10.10%,16%,26438,264809,9.05%,90.95%,158232,13777,22480,27281,9844,1922,
0500000US02050,"Bethel Census Area, Alaska",18263,8802,48.20%,51.80%,36.7,2260,12.37%,823,348,43,4789,502,559,556,8213,1115,5612,850,602,30.73%,4.65%,3%,207,18459,1.13%,98.87%,1628,84,15580,201,2,19,
0500000US02060,"Bristol Bay Borough, Alaska",739,325,43.98%,56.02%,59.4,16,2.17%,13,15,5,168,32,114,31,526,145,181,47,119,24.49%,6.36%,16%,45,799,6.09%,93.91%,357,6,296,5,3,2,
0500000US02063,"Chugach Census Area, Alaska",6495,2922,44.99%,55.01%,58.9,276,4.25%,260,108,22,1126,492,764,598,4482,1362,1386,600,786,21.34%,9.24%,12%,397,6705,6.11%,93.89%,4768,46,657,527,61,26,
0500000US02066,"Copper River Census Area, Alaska",2894,1520,52.52%,47.48%,55.9,108,3.73%,63,69,0,650,123,327,266,1794,593,713,192,327,24.64%,6.63%,11%,84,2533,2.90%,97.10%,1591,6,645,17,10,15,
0500000US02068,"Denali Borough, Alaska",2502,1144,45.72%,54.28%,43.5,224,8.95%,111,184,6,563,130,478,252,1824,730,674,314,484,26.94%,12.55%,19%,32,1587,1.28%,98.72%,1378,9,59,13,3,4,
0500000US02070,"Dillingham Census Area, Alaska",4934,2407,48.78%,51.22%,39.4,349,7.07%,243,108,16,1165,177,247,316,2511,563,1408,285,263,28.54%,5.78%,5%,146,4711,2.96%,97.04%,770,19,3412,45,9,7,
0500000US02090,"Fairbanks North Star Borough, Alaska",98455,45346,46.06%,53.94%,52.4,3246,3.30%,5229,6314,813,14863,5916,11625,8329,58299,19954,20092,12230,12438,20.41%,12.42%,13%,7320,88335,7.43%,92.57%,63178,3804,7299,3031,584,812,
0500000US02100,"Haines Borough, Alaska",2547,1132,44.44%,55.56%,51.9,187,7.34%,24,0,0,569,56,278,182,1629,460,593,56,278,23.28%,2.20%,11%,67,2013,2.63%,97.37%,1577,2,205,14,2,9,
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2135,986,46.18%,53.82%,44.9,63,2.95%,67,23,0,635,201,255,87,1639,342,702,224,255,32.88%,10.49%,12%,120,2245,5.62%,94.38%,1123,6,841,15,4,16,
0500000US02110,"Juneau City and Borough, Alaska",32099,15625,48.68%,51.32%,48.9,1260,3.93%,878,1077,289,4870,1865,5722,3047,21756,8769,5748,2942,6011,17.91%,9.17%,19%,2077,30178,6.47%,93.53%,19673,328,3397,2086,469,183,
0500000US02122,"Kenai Peninsula Borough, Alaska",58809,28214,47.98%,52.02%,51.2,3164,5.38%,2003,1626,220,12870,3541,6650,3972,38279,10622,14873,5167,6870,25.29%,8.79%,12%,2328,56471,3.96%,96.04%,45546,361,4107,793,173,372,
0500000US02130,"Ketchikan Gateway Borough, Alaska",13833,6701,48.44%,51.56%,50,607,4.39%,558,398,63,2975,789,1641,826,9097,2467,3533,1187,1704,25.54%,8.58%,12%,650,13298,4.70%,95.30%,8221,100,2264,1118,26,93,
0500000US02150,"Kodiak Island Borough, Alaska",13383,6239,46.62%,53.38%,53.7,393,2.94%,497,376,33,2415,680,1597,1055,7973,2652,2912,1056,1630,21.76%,7.89%,12%,1024,12077,7.65%,92.35%,6291,85,1759,2781,107,74,
0500000US02158,"Kusilvak Census Area, Alaska",8298,3813,45.95%,54.05%,30,1409,16.98%,487,87,2,2193,79,107,25,3179,132,2680,166,109,32.30%,2.00%,1%,14,8354,0.17%,99.83%,173,16,7946,23,0,14,
0500000US02164,"Lake and Peninsula Borough, Alaska",1156,626,54.15%,45.85%,44.5,76,6.57%,36,19,59,256,44,76,90,633,166,292,63,135,25.26%,5.45%,12%,34,1442,2.94%,97.06%,297,1,993,7,0,0,
0500000US02170,"Matanuska-Susitna Borough, Alaska",107360,51589,48.05%,51.95%,49.3,5789,5.39%,4074,2829,321,23703,6987,10004,5293,65351,15297,27777,9816,10325,25.87%,9.14%,10%,5244,101837,4.88%,95.12%,81050,1059,6531,1515,476,785,
0500000US02180,"Nome Census Area, Alaska",10009,4760,47.56%,52.44%,33.4,958,9.57%,644,214,27,2392,160,465,472,4752,937,3036,374,492,30.33%,3.74%,5%,186,9860,1.86%,98.14%,1393,52,7508,109,5,25,
0500000US02185,"North Slope Borough, Alaska",9375,3694,39.40%,60.60%,46.5,428,4.57%,356,199,46,2539,478,700,236,5489,936,2895,677,746,30.88%,7.22%,8%,548,10483,5.85%,94.15%,2964,159,5680,636,321,30,
0500000US02188,"Northwest Arctic Borough, Alaska",7709,3487,45.23%,54.77%,31.2,883,11.45%,411,133,16,1994,202,354,285,3593,639,2405,335,370,31.20%,4.35%,5%,102,7691,1.32%,98.68%,684,71,6453,53,11,0,
0500000US02195,"Petersburg Borough, Alaska",3278,1618,49.36%,50.64%,53.8,65,1.98%,155,59,4,836,201,486,148,2215,634,991,260,490,30.23%,7.93%,15%,164,3234,5.00%,95.00%,2444,46,231,117,12,21,
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",6338,2869,45.27%,54.73%,48.5,399,6.30%,232,80,11,1700,376,527,240,4069,767,1932,456,538,30.48%,7.19%,8%,160,5593,2.52%,97.48%,2368,21,2529,25,30,16,
0500000US02220,"Sitka City and Borough, Alaska",8569,4162,48.57%,51.43%,53.9,265,3.09%,247,240,49,1549,693,1344,751,5830,2095,1796,933,1393,20.96%,10.89%,16%,501,7957,5.85%,94.15%,5050,37,1206,573,14,53,
0500000US02230,"Skagway Municipality, Alaska",1300,645,49.62%,50.39%,38.6,37,2.85%,28,32,4,319,56,202,52,930,254,347,88,206,26.69%,6.77%,16%,41,1199,3.15%,96.85%,1056,6,23,39,0,6,
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6911,3147,45.54%,54.46%,52,442,6.40%,164,117,86,1624,425,500,479,4201,979,1788,542,586,25.87%,7.84%,8%,376,6432,5.44%,94.56%,4993,68,795,87,13,23,
0500000US02275,"Wrangell City and Borough, Alaska",2510,1154,45.98%,54.02%,54.1,141,5.62%,25,46,12,611,176,216,101,1657,317,636,222,228,25.34%,8.84%,9%,76,2051,3.03%,96.97%,1341,0,368,25,2,11,
0500000US02282,"Yakutat City and Borough, Alaska",597,243,40.70%,59.30%,42,22,3.69%,12,4,3,178,20,66,11,404,77,190,24,69,31.83%,4.02%,12%,29,633,4.86%,95.14%,248,2,250,32,1,0,
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5305,2533,47.75%,52.25%,34.2,516,9.73%,254,103,24,1430,150,280,170,2990,450,1684,253,304,31.74%,4.77%,6%,72,5271,1.36%,98.64%,1121,6,3818,8,3,16,
0500000US04001,"Apache County, Arizona",71714,36326,50.65%,49.35%,35.4,13487,18.81%,2376,2911,61,14235,3499,3496,2209,37148,5705,16611,6410,3557,23.16%,8.94%,5%,3861,62160,5.38%,94.62%,13791,184,46509,307,18,115,
0500000US04003,"Cochise County, Arizona",126442,62071,49.09%,50.91%,50.2,6555,5.18%,4232,4413,359,21183,10060,13890,8691,78362,22581,25415,14473,14249,20.10%,11.45%,11%,42615,82832,33.70%,66.30%,68256,4371,762,2587,421,725,
0500000US04005,"Coconino County, Arizona",142254,72130,50.71%,49.30%,38.2,10699,7.52%,9126,16262,2022,18325,6936,18949,12777,76717,31726,27451,23198,20971,19.30%,16.31%,15%,21719,123382,15.27%,84.73%,76904,1777,35143,2582,254,616,
0500000US04007,"Gila County, Arizona",53846,27175,50.47%,49.53%,50.4,4907,9.11%,1320,1060,141,11390,3342,4784,2850,34677,7634,12710,4402,4925,23.60%,8.18%,9%,9283,43989,17.24%,82.76%,32757,239,8655,427,45,203,
0500000US04009,"Graham County, Arizona",38304,17846,46.59%,53.41%,42,3769,9.84%,1104,1724,171,7298,2736,2422,1144,20527,3566,8402,4460,2593,21.94%,11.64%,7%,11428,27105,29.84%,70.16%,20398,453,5143,169,16,102,
0500000US04011,"Greenlee County, Arizona",9465,4403,46.52%,53.48%,50.5,638,6.74%,577,393,0,1742,443,777,183,4872,960,2319,836,777,24.50%,8.83%,8%,4376,5187,46.23%,53.77%,4446,80,275,68,1,34,
0500000US04012,"La Paz County, Arizona",21035,10285,48.90%,51.11%,52.6,2427,11.54%,288,406,7,5488,1218,1378,585,13355,1963,5776,1624,1385,27.46%,7.72%,7%,4197,12360,19.95%,80.05%,9061,102,2354,111,41,43,
0500000US04013,"Maricopa County, Arizona",4412779,2230812,50.55%,49.45%,47.1,257624,5.84%,141276,167314,44629,659883,257177,621592,364998,2609466,986590,801159,424491,666221,18.16%,9.62%,15%,1351415,3069153,30.63%,69.37%,2357571,245239,68353,197910,9579,20693,
0500000US04015,"Mohave County, Arizona",210998,104556,49.55%,50.45%,50.1,14206,6.73%,4998,3750,672,55708,14690,13499,8250,140182,21749,60706,18440,14171,28.77%,8.74%,7%,34126,179141,16.17%,83.83%,160165,2063,4053,2600,365,690,
0500000US04017,"Navajo County, Arizona",110271,54994,49.87%,50.13%,43.2,14244,12.92%,3868,2490,375,21002,6354,6898,4690,60298,11588,24870,8844,7273,22.55%,8.02%,7%,10887,95830,9.87%,90.13%,44786,674,46572,548,68,232,
